Meter Consumption ID,Usage/Quantity,Cost ($),Start Date,End Date,Meter Name
1457394726,58233,3661.37,7/1/09,7/31/09,EL1
1457394727,282323,17949.02,8/1/09,8/31/09,EL1
1457394728,405601,23876.63,9/1/09,9/30/09,EL1
1457394729,387746,21179.26,10/1/09,10/31/09,EL1
1457394730,769449,38578.81,11/1/09,11/30/09,EL1
1457394731,109448,7305.06,12/1/09,12/31/09,EL1
1457394732,79997,4709.21,1/1/10,1/31/10,EL1
1457394733,295623,23907.27,2/1/10,2/28/10,EL1
1457394734,345094,19442.98,3/1/10,3/31/10,EL1
1457394735,433231,23955.68,4/1/10,4/30/10,EL1
1457394736,970260,62157.9,5/1/10,5/31/10,EL1
1457394737,199158,16536.32,6/1/10,6/30/10,EL1
1457394738,380602,54270.43,7/1/10,7/31/10,EL1
1457394739,528283,58136.17,8/1/10,8/31/10,EL1
1457394740,544528,49559.85,9/1/10,9/30/10,EL1
1457394741,794620,42214.71,10/1/10,10/31/10,EL1
1457394742,299902,16811.03,11/1/10,11/30/10,EL1
1457394743,95141,9588.39,12/1/10,12/31/10,EL1
1457394745,358548,30724.91,1/1/11,1/31/11,EL1
1457394746,214225,12900.8,2/1/11,2/28/11,EL1
1457394747,82480,5278.65,3/1/11,3/31/11,EL1
1457394748,384913,27104.15,4/1/11,4/30/11,EL1
1457394749,1116345,69905.52,5/1/11,5/31/11,EL1
1457394750,157495,19703.75,6/1/11,6/30/11,EL1
1457394751,417574,45482.16,7/1/11,7/31/11,EL1
1457394752,268993,20523.07,8/1/11,8/31/11,EL1
1457394753,944186,57897.23,9/1/11,9/30/11,EL1
1457394754,368945,19840.84,10/1/11,10/31/11,EL1
1457394755,537407,28729.68,11/1/11,11/30/11,EL1
1457394756,62353,2953.12,12/1/11,12/31/11,EL1
1457394757,551000,29049.99,1/1/12,1/31/12,EL1
1457394758,68599,2659.04,2/1/12,2/29/12,EL1
1457394759,118915,5566.9,3/1/12,3/31/12,EL1
1457394760,167247,5932.46,4/1/12,4/30/12,EL1
1457394761,1584146,75376.04,5/1/12,5/31/12,EL1
1457394762,333170,16933.41,6/1/12,6/30/12,EL1
1457394763,492453,41444.41,7/1/12,7/31/12,EL1
