Portfolio Manager ID,Property Name,Property Type - Self-Selected,Year Built,Gross Floor Area,Factor
6151483,Ely Allen Brewster House,Residence Hall/Dormitory,1855,54144,1.25
6151485,Armstrong Hall,College/University,1961,71647,1
6151490,Art & IMM,College/University,2010,70580,1
6151492,ASB,College/University,1968,32339,1
6151495,Biology Building,College/University,2001,77893,1
6151517,Bliss Hall,College/University,1935,35915,1
6151522,Brower Student Center,College/University,2016,106430,1
6151525,School of Business,College/University,1999,46000,1
6151527,Centennial Hall,Residence Hall/Dormitory,1954,49944,1.25
6153497,Cromwell Hall,Residence Hall/Dormitory,1967,85847,1.25
6153499,Decker Hall,Residence Hall/Dormitory,1963,103816,1.25
6153500,Education Building,College/University,2012,79885,1
6153504,Eickhoff Hall,College/University,1992,147100,1
6153507,Forcina Hall,College/University,1969,77380,1.25
6153508,Green Hall,College/University,1931,71808,1
6153510,Hausdoerffer Hall,Residence Hall/Dormitory,2009,70000,1.25
6153512,Kendall Hall,College/University,1932,83000,1
6153513,Maintenance Building,College/University,1970,21049,0.75
6153515,Music Building,College/University,1993,50200,1
6153516,New Residence Hall,Residence Hall/Dormitory,1986,57875,1.25
6153518,Norsworthy Hall,Residence Hall/Dormitory,1936,43200,1.25
6153520,Packer Hall,College/University,1932,124577,1
6153521,Phelps Hall,Residence Hall/Dormitory,2009,70000,1.25
6153524,Athletic Recreation Center,College/University,1979,53861,1
6153527,Roscoe L West 68 Building,College/University,1968,59140,1
6153528,Science Complex,College/University,2002,123068,1
6153529,Social Science Building,College/University,2001,74000,1
6153535,Spiritual Center,Worship Facility,2004,4450,1
6153537,R. Barbara Gitenstein Library,College/University,2005,153515,1
6153559,Travers Wolfe Hall,Residence Hall/Dormitory,1971,280494,1.25
6153562,Townhouse West/East (Cluster #1),Residence Hall/Dormitory,1995,133749,1.25
6153563,Power House/Cogen,College/University,1996,15720,0.75
6153565,Trenton Hall,College/University,1997,33097,1
6153566,Townhouse South (Cluster #2),Residence Hall/Dormitory,1998,65000,1.25
6609978,Bliss Annex,College/University,1978,20667,1
6609987,Roscoe L West 34 Building,College/University,1934,39416,1
6610009,Lions Stadium Concession,College/University,1990,2050,0.75
6610010,Lions Stadium Restrooms,College/University,1990,1510,0.75
6610012,Lions Stadium Pressbox,College/University,1990,2548,0.75
6610015,Trenton Info Booth,College/University,1999,56,0.75
6610017,Soccer Bathrooms,College/University,2000,912,0.75
6610018,Soccer Pressbox,College/University,2000,484,0.75
6610019,Softball Concession,College/University,2000,321,0.75
6610020,Softball Pressbox,College/University,2000,725,0.75
6610023,STEM Building/Forum,College/University,2017,106380,1
6610024,Chemistry Addition,College/University,2018,29681,1
6611048,Green Lane Storage Facility,College/University,2000,3996,0.75
